From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (molecular function)
LHX8	O35652	reviewed	LHX8_MOUSE	LIM/homeobox protein Lhx8 (LIM homeobox protein 8) (L3) (LIM/homeobox protein Lhx7) (LIM homeobox protein 7)	Lhx8 Lhx7	Mus musculus (Mouse)	367	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]
HAP1	O35668	reviewed	HAP1_MOUSE	Huntingtin-associated protein 1 (HAP-1)	Hap1	Mus musculus (Mouse)	628	brain-derived neurotrophic factor binding [GO:0048403]; identical protein binding [GO:0042802]; myosin binding [GO:0017022]; protein domain specific binding [GO:0019904]; signaling receptor binding [GO:0005102]; transmembrane transporter binding [GO:0044325]
RBMY1A1	O35698	reviewed	RBY1A_MOUSE	RNA-binding motif protein, Y chromosome, family 1 member A1 (RNA-binding motif protein 1) (Y chromosome RNA recognition motif 1)	Rbmy1a1 Rbm	Mus musculus (Mouse)	380	RNA binding [GO:0003723]
DFFB	O54788	reviewed	DFFB_MOUSE	DNA fragmentation factor subunit beta (EC 3.-.-.-) (Caspase-activated deoxyribonuclease) (CAD) (Caspase-activated DNase) (DNA fragmentation factor 40 kDa subunit) (DFF-40)	Dffb Cad	Mus musculus (Mouse)	344	disordered domain specific binding [GO:0097718]; DNA binding [GO:0003677]; DNA endonuclease activity [GO:0004520]; DNA nuclease activity [GO:0004536]; enzyme binding [GO:0019899]; identical protein binding [GO:0042802]; nuclease activity [GO:0004518]; protein domain specific binding [GO:0019904]
P2RX6	O54803	reviewed	P2RX6_MOUSE	P2X purinoceptor 6 (P2X6) (ATP receptor) (P2XM) (Purinergic receptor) (Purinergic receptor P2X-like 1)	P2rx6 P2rxl1	Mus musculus (Mouse)	389	ATP binding [GO:0005524]; extracellularly ATP-gated monoatomic cation channel activity [GO:0004931]; protein-containing complex binding [GO:0044877]; purinergic nucleotide receptor activity [GO:0001614]
BYSL	O54825	reviewed	BYST_MOUSE	Bystin	Bysl	Mus musculus (Mouse)	436	snoRNA binding [GO:0030515]
HMGB3	O54879	reviewed	HMGB3_MOUSE	High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4)	Hmgb3 Hmg2a Hmg4	Mus musculus (Mouse)	200	DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]; four-way junction DNA binding [GO:0000400]; RNA binding [GO:0003723]
BNIP2	O54940	reviewed	BNIP2_MOUSE	BCL2/adenovirus E1B 19 kDa protein-interacting protein 2	Bnip2 Nip2l	Mus musculus (Mouse)	326	
NLK	O54949	reviewed	NLK_MOUSE	Serine/threonine-protein kinase NLK (EC 2.7.11.24) (Nemo-like kinase)	Nlk	Mus musculus (Mouse)	527	ATP binding [GO:0005524]; DNA-binding transcription factor binding [GO:0140297]; magnesium ion binding [GO:0000287]; MAP kinase activity [GO:0004707]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; SH2 domain binding [GO:0042169]; ubiquitin protein ligase binding [GO:0031625]
GET3	O54984	reviewed	GET3_MOUSE	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase)	Get3 Arsa Asna1	Mus musculus (Mouse)	348	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; membrane insertase activity [GO:0032977]; metal ion binding [GO:0046872]
PGRMC1	O55022	reviewed	PGRC1_MOUSE	Membrane-associated progesterone receptor component 1 (mPR)	Pgrmc1 Pgrmc	Mus musculus (Mouse)	195	heme binding [GO:0020037]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; steroid binding [GO:0005496]
PJA1	O55176	reviewed	PJA1_MOUSE	E3 ubiquitin-protein ligase Praja-1 (Praja1) (EC 2.3.2.27) (RING-type E3 ubiquitin transferase Praja-1)	Pja1	Mus musculus (Mouse)	578	metal ion binding [GO:0046872]; ubiquitin protein ligase activity [GO:0061630]
LDB2	O55203	reviewed	LDB2_MOUSE	LIM domain-binding protein 2 (LDB-2) (Carboxyl-terminal LIM domain-binding protein 1) (CLIM-1) (LIM domain-binding factor CLIM1)	Ldb2 Clim1	Mus musculus (Mouse)	373	enzyme binding [GO:0019899]; LIM domain binding [GO:0030274]
DHX9	O70133	reviewed	DHX9_MOUSE	ATP-dependent RNA helicase A (EC 3.6.4.13) (DEAH box protein 9) (mHEL-5) (Nuclear DNA helicase II) (NDH II) (RNA helicase A) (RHA)	Dhx9 Ddx9	Mus musculus (Mouse)	1380	3'-5' DNA helicase activity [GO:0043138]; 3'-5' DNA/RNA helicase activity [GO:0033679]; 3'-5' RNA helicase activity [GO:0034458]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; chromatin DNA binding [GO:0031490]; DNA binding [GO:0003677]; DNA helicase activity [GO:0003678]; DNA replication origin binding [GO:0003688]; double-stranded DNA binding [GO:0003690]; double-stranded RNA binding [GO:0003725]; importin-alpha family protein binding [GO:0061676]; metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; nucleoside triphosphate diphosphatase activity [GO:0047429]; polysome binding [GO:1905538]; promoter-specific chromatin binding [GO:1990841]; regulatory region RNA binding [GO:0001069]; ribonucleoside triphosphate phosphatase activity [GO:0017111]; RISC complex binding [GO:1905172]; RNA binding [GO:0003723]; RNA helicase activity [GO:0003724]; RNA polymerase binding [GO:0070063]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II complex binding [GO:0000993]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; RNA stem-loop binding [GO:0035613]; sequence-specific mRNA binding [GO:1990825]; single-stranded 3'-5' DNA helicase activity [GO:1990518]; single-stranded DNA binding [GO:0003697]; single-stranded RNA binding [GO:0003727]; siRNA binding [GO:0035197]; transcription coactivator activity [GO:0003713]; transcription coregulator activity [GO:0003712]; triplex DNA binding [GO:0045142]
PGAM2	O70250	reviewed	PGAM2_MOUSE	Phosphoglycerate mutase 2 (EC 5.4.2.11) (EC 5.4.2.4) (BPG-dependent PGAM 2) (Muscle-specific phosphoglycerate mutase) (Phosphoglycerate mutase isozyme M) (PGAM-M)	Pgam2	Mus musculus (Mouse)	253	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]; bisphosphoglycerate mutase activity [GO:0004082]; hydrolase activity [GO:0016787]; identical protein binding [GO:0042802]; phosphoglycerate mutase activity [GO:0004619]
OSMR	O70458	reviewed	OSMR_MOUSE	Oncostatin-M-specific receptor subunit beta (Interleukin-31 receptor subunit beta) (IL-31 receptor subunit beta) (IL-31R subunit beta) (IL-31R-beta) (IL-31RB)	Osmr Osmrb	Mus musculus (Mouse)	971	ciliary neurotrophic factor receptor binding [GO:0005127]; cytokine binding [GO:0019955]; cytokine receptor activity [GO:0004896]; growth factor binding [GO:0019838]; oncostatin-M receptor activity [GO:0004924]
TNFAIP1	O70479	reviewed	BACD2_MOUSE	BTB/POZ domain-containing adapter for CUL3-mediated RhoA degradation protein 2 (BTB/POZ domain-containing protein TNFAIP1) (Tumor necrosis factor, alpha-induced protein 1, endothelial)	Tnfaip1 Edp1	Mus musculus (Mouse)	316	cyclin binding [GO:0030332]; identical protein binding [GO:0042802]; small GTPase binding [GO:0031267]; ubiquitin-protein transferase activity [GO:0004842]
KDM6A	O70546	reviewed	KDM6A_MOUSE	Lysine-specific demethylase 6A (EC 1.14.11.68) (Histone demethylase UTX) (Ubiquitously transcribed TPR protein on the X chromosome) (Ubiquitously transcribed X chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase 6A)	Kdm6a Utx	Mus musculus (Mouse)	1401	chromatin DNA binding [GO:0031490]; histone H3K27me2/H3K27me3 demethylase activity [GO:0071558]; identical protein binding [GO:0042802]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
DIAPH2	O70566	reviewed	DIAP2_MOUSE	Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2) (mDia3)	Diaph2 Diap2	Mus musculus (Mouse)	1098	actin binding [GO:0003779]; small GTPase binding [GO:0031267]
STAG3	O70576	reviewed	STAG3_MOUSE	Cohesin subunit SA-3 (SCC3 homolog 3) (Stromal antigen 3) (Stromalin-3)	Stag3	Mus musculus (Mouse)	1240	chromatin binding [GO:0003682]
TTC3	O88196	reviewed	TTC3_MOUSE	E3 ubiquitin-protein ligase TTC3 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase TTC3) (TPR repeat protein D) (Mtprd)	Ttc3 Kiaa4119	Mus musculus (Mouse)	1979	metal ion binding [GO:0046872]; ubiquitin-protein transferase activity [GO:0004842]
CD83	O88324	reviewed	CD83_MOUSE	CD83 antigen (mCD83) (CD antigen CD83)	Cd83	Mus musculus (Mouse)	196	
TULP3	O88413	reviewed	TULP3_MOUSE	Tubby-related protein 3 (Tubby-like protein 3)	Tulp3	Mus musculus (Mouse)	460	enzyme binding [GO:0019899]; G protein-coupled receptor binding [GO:0001664]; intraciliary transport particle A binding [GO:0120160]; phosphatidylinositol binding [GO:0035091]; protein-containing complex binding [GO:0044877]
MTX2	O88441	reviewed	MTX2_MOUSE	Metaxin-2 (Mitochondrial outer membrane import complex protein 2)	Mtx2 MNCb-0780	Mus musculus (Mouse)	263	
ZNF106	O88466	reviewed	ZN106_MOUSE	Zinc finger protein 106 (Zfp-106) (H3a minor histocompatibility antigen) (Son of insulin receptor mutant) (Zinc finger protein 474)	Znf106 H3a Sh3bp3 Sirm Zfp106 Znf474	Mus musculus (Mouse)	1888	metal ion binding [GO:0046872]; opioid peptide activity [GO:0001515]; RNA binding [GO:0003723]; SH3 domain binding [GO:0017124]
DYNC1I2	O88487	reviewed	DC1I2_MOUSE	Cytoplasmic dynein 1 intermediate chain 2 (Cytoplasmic dynein intermediate chain 2) (Dynein intermediate chain 2, cytosolic) (DH IC-2)	Dync1i2 Dnci2 Dncic2	Mus musculus (Mouse)	612	dynein heavy chain binding [GO:0045504]; dynein light chain binding [GO:0045503]; protein-containing complex binding [GO:0044877]
PARP2	O88554	reviewed	PARP2_MOUSE	Poly [ADP-ribose] polymerase 2 (PARP-2) (mPARP-2) (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 2) (ARTD2) (DNA ADP-ribosyltransferase PARP2) (EC 2.4.2.-) (NAD(+) ADP-ribosyltransferase 2) (ADPRT-2) (Poly[ADP-ribose] synthase 2) (pADPRT-2) (Protein poly-ADP-ribosyltransferase PARP2) (EC 2.4.2.-)	Parp2 Adprt2 Adprtl2 Aspartl2	Mus musculus (Mouse)	559	chromatin binding [GO:0003682]; damaged DNA binding [GO:0003684]; NAD DNA ADP-ribosyltransferase activity [GO:0140294]; NAD+ ADP-ribosyltransferase activity [GO:0003950]; NAD+- protein-aspartate ADP-ribosyltransferase activity [GO:0140806]; NAD+-protein ADP-ribosyltransferase activity [GO:1990404]; NAD+-protein-glutamate ADP-ribosyltransferase activity [GO:0140807]; NAD+-protein-serine ADP-ribosyltransferase activity [GO:0140805]; nucleosome binding [GO:0031491]; nucleotidyltransferase activity [GO:0016779]; poly-ADP-D-ribose binding [GO:0072572]; poly-ADP-D-ribose modification-dependent protein binding [GO:0160004]
ORC4	O88708	reviewed	ORC4_MOUSE	Origin recognition complex subunit 4	Orc4 Orc4l	Mus musculus (Mouse)	433	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA replication origin binding [GO:0003688]; nucleotide binding [GO:0000166]
RPP30	O88796	reviewed	RPP30_MOUSE	Ribonuclease P protein subunit p30 (RNaseP protein p30) (RNase P subunit 2)	Rpp30 Rnasep2	Mus musculus (Mouse)	268	ribonuclease P activity [GO:0004526]; ribonuclease P RNA binding [GO:0033204]; RNA binding [GO:0003723]
