From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (molecular function)
SMARCA5	O60264	reviewed	SMCA5_HUMAN	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H)	SMARCA5 SNF2H WCRF135	Homo sapiens (Human)	1052	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATP-dependent activity, acting on DNA [GO:0008094]; ATP-dependent chromatin remodeler activity [GO:0140658]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone octamer slider activity [GO:0140751]; nucleosome binding [GO:0031491]
NUAK1	O60285	reviewed	NUAK1_HUMAN	NUAK family SNF1-like kinase 1 (EC 2.7.11.1) (AMPK-related protein kinase 5) (ARK5) (Omphalocele kinase 1)	NUAK1 ARK5 KIAA0537 OMPHK1	Homo sapiens (Human)	661	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; p53 binding [GO:0002039]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
KIF1B	O60333	reviewed	KIF1B_HUMAN	Kinesin-like protein KIF1B (Klp)	KIF1B KIAA0591 KIAA1448	Homo sapiens (Human)	1816	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; kinesin binding [GO:0019894]; microtubule binding [GO:0008017]; plus-end-directed microtubule motor activity [GO:0008574]
USO1	O60763	reviewed	USO1_HUMAN	General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein)	USO1 VDP	Homo sapiens (Human)	962	cadherin binding [GO:0045296]; RNA binding [GO:0003723]
CTSV	O60911	reviewed	CATL2_HUMAN	Cathepsin L2 (EC 3.4.22.43) (Cathepsin U) (Cathepsin V)	CTSV CATL2 CTSL2 CTSU UNQ268/PRO305	Homo sapiens (Human)	334	cysteine-type endopeptidase activator activity involved in apoptotic process [GO:0008656]; cysteine-type endopeptidase activity [GO:0004197]; cysteine-type peptidase activity [GO:0008234]; serine-type endopeptidase activity [GO:0004252]
N4BP1	O75113	reviewed	N4BP1_HUMAN	NEDD4-binding protein 1 (N4BP1) (EC 3.1.-.-)	N4BP1 KIAA0615	Homo sapiens (Human)	896	mRNA binding [GO:0003729]; RNA nuclease activity [GO:0004540]; ubiquitin binding [GO:0043130]
PPFIA3	O75145	reviewed	LIPA3_HUMAN	Liprin-alpha-3 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-3) (PTPRF-interacting protein alpha-3)	PPFIA3 KIAA0654	Homo sapiens (Human)	1194	
CLUH	O75153	reviewed	CLU_HUMAN	Clustered mitochondria protein homolog	CLUH KIAA0664	Homo sapiens (Human)	1309	mRNA binding [GO:0003729]
KDM4A	O75164	reviewed	KDM4A_HUMAN	Lysine-specific demethylase 4A (EC 1.14.11.66) (EC 1.14.11.69) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A)	KDM4A JHDM3A JMJD2 JMJD2A KIAA0677	Homo sapiens (Human)	1064	histone demethylase activity [GO:0032452]; histone H3K36 demethylase activity [GO:0051864]; histone H3K36me2/H3K36me3 demethylase activity [GO:0140681]; histone H3K9 demethylase activity [GO:0032454]; histone H3K9me2/H3K9me3 demethylase activity [GO:0140684]; methylated histone binding [GO:0035064]; ubiquitin protein ligase binding [GO:0031625]; zinc ion binding [GO:0008270]
DUSP11	O75319	reviewed	DUS11_HUMAN	RNA/RNP complex-1-interacting phosphatase (EC 3.1.3.-) (Dual specificity protein phosphatase 11) (Phosphatase that interacts with RNA/RNP complex 1)	DUSP11 PIR1	Homo sapiens (Human)	330	phosphatase activity [GO:0016791]; polynucleotide 5'-phosphatase activity [GO:0004651]; protein tyrosine phosphatase activity [GO:0004725]; protein tyrosine/serine/threonine phosphatase activity [GO:0008138]; RNA binding [GO:0003723]
PEX14	O75381	reviewed	PEX14_HUMAN	Peroxisomal membrane protein PEX14 (PTS1 receptor-docking protein) (Peroxin-14) (Peroxisomal membrane anchor protein PEX14)	PEX14	Homo sapiens (Human)	377	beta-tubulin binding [GO:0048487]; identical protein binding [GO:0042802]; microtubule binding [GO:0008017]; protein transmembrane transporter activity [GO:0008320]; protein-macromolecule adaptor activity [GO:0030674]; signaling receptor binding [GO:0005102]; transcription corepressor activity [GO:0003714]
DEAF1	O75398	reviewed	DEAF1_HUMAN	Deformed epidermal autoregulatory factor 1 homolog (Nuclear DEAF-1-related transcriptional regulator) (NUDR) (Suppressin) (Zinc finger MYND domain-containing protein 5)	DEAF1 SPN ZMYND5	Homo sapiens (Human)	565	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]
PAGE1	O75459	reviewed	PAGE1_HUMAN	P antigen family member 1 (PAGE-1) (AL5) (G antigen 9) (GAGE-9) (G antigen family B member 1) (Prostate-associated gene 1 protein)	PAGE1 GAGE9 GAGEB1	Homo sapiens (Human)	146	
TOX	O94900	reviewed	TOX_HUMAN	Thymocyte selection-associated high mobility group box protein TOX (Thymus high mobility group box protein TOX)	TOX KIAA0808	Homo sapiens (Human)	526	chromatin DNA binding [GO:0031490]
ALX3	O95076	reviewed	ALX3_HUMAN	Homeobox protein aristaless-like 3 (Proline-rich transcription factor ALX3)	ALX3	Homo sapiens (Human)	343	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific double-stranded DNA binding [GO:1990837]
VENTX	O95231	reviewed	VENTX_HUMAN	Homeobox protein VENTX (VENT homeobox homolog) (VENT-like homeobox protein 2)	VENTX HPX42B VENTX2	Homo sapiens (Human)	258	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]
SEC24A	O95486	reviewed	SC24A_HUMAN	Protein transport protein Sec24A (SEC24-related protein A)	SEC24A	Homo sapiens (Human)	1093	SNARE binding [GO:0000149]; zinc ion binding [GO:0008270]
POLR1A	O95602	reviewed	RPA1_HUMAN	DNA-directed RNA polymerase I subunit RPA1 (RNA polymerase I subunit A1) (EC 2.7.7.6) (A190) (DNA-directed RNA polymerase I largest subunit) (DNA-directed RNA polymerase I subunit A) (RNA polymerase I 194 kDa subunit) (RPA194)	POLR1A	Homo sapiens (Human)	1720	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA/RNA hybrid binding [GO:0071667]; RNA polymerase I activity [GO:0001054]; zinc ion binding [GO:0008270]
NFIC	P08651	reviewed	NFIC_HUMAN	Nuclear factor 1 C-type (NF1-C) (Nuclear factor 1/C) (CCAAT-box-binding transcription factor) (CTF) (Nuclear factor I/C) (NF-I/C) (NFI-C) (TGGCA-binding protein)	NFIC NFI	Homo sapiens (Human)	508	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]
HOXB5	P09067	reviewed	HXB5_HUMAN	Homeobox protein Hox-B5 (Homeobox protein HHO.C10) (Homeobox protein Hox-2A) (Homeobox protein Hu-1)	HOXB5 HOX2A	Homo sapiens (Human)	269	DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]
CD48	P09326	reviewed	CD48_HUMAN	CD48 antigen (B-lymphocyte activation marker BLAST-1) (BCM1 surface antigen) (Leukocyte antigen MEM-102) (SLAM family member 2) (SLAMF2) (Signaling lymphocytic activation molecule 2) (TCT.1) (CD antigen CD48)	CD48 BCM1 BLAST1	Homo sapiens (Human)	243	
ALDOC	P09972	reviewed	ALDOC_HUMAN	Fructose-bisphosphate aldolase C (EC 4.1.2.13) (Brain-type aldolase)	ALDOC ALDC	Homo sapiens (Human)	364	cytoskeletal protein binding [GO:0008092]; fructose-bisphosphate aldolase activity [GO:0004332]
TOP1	P11387	reviewed	TOP1_HUMAN	DNA topoisomerase 1 (EC 5.6.2.1) (DNA topoisomerase I)	TOP1	Homo sapiens (Human)	765	ATP binding [GO:0005524]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA binding, bending [GO:0008301]; DNA topoisomerase type I (single strand cut, ATP-independent) activity [GO:0003917]; double-stranded DNA binding [GO:0003690]; protein domain specific binding [GO:0019904]; protein serine/threonine kinase activity [GO:0004674]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; single-stranded DNA binding [GO:0003697]; supercoiled DNA binding [GO:0097100]
ESRRA	P11474	reviewed	ERR1_HUMAN	Steroid hormone receptor ERR1 (Estrogen receptor-like 1) (Estrogen-related receptor alpha) (ERR-alpha) (Nuclear receptor subfamily 3 group B member 1)	ESRRA ERR1 ESRL1 NR3B1	Homo sapiens (Human)	423	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; estrogen response element binding [GO:0034056]; nuclear receptor activity [GO:0004879]; nuclear steroid receptor activity [GO:0003707]; protein domain specific binding [GO:0019904]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; steroid binding [GO:0005496]; zinc ion binding [GO:0008270]
UBTF	P17480	reviewed	UBF1_HUMAN	Nucleolar transcription factor 1 (Autoantigen NOR-90) (Upstream-binding factor 1) (UBF-1)	UBTF UBF UBF1	Homo sapiens (Human)	764	chromatin binding [GO:0003682]; RNA binding [GO:0003723]; RNA polymerase I cis-regulatory region sequence-specific DNA binding [GO:0001165]; RNA polymerase I core promoter sequence-specific DNA binding [GO:0001164]; RNA polymerase I general transcription initiation factor activity [GO:0001181]; scaffold protein binding [GO:0097110]
AKR1C4	P17516	reviewed	AK1C4_HUMAN	Aldo-keto reductase family 1 member C4 (EC 1.1.1.-) (EC 1.1.1.209) (EC 1.1.1.210) (EC 1.1.1.51) (EC 1.1.1.53) (EC 1.1.1.62) (3-alpha-hydroxysteroid dehydrogenase type I) (3-alpha-HSD1) (EC 1.1.1.357) (3alpha-hydroxysteroid 3-dehydrogenase) (Chlordecone reductase) (CDR) (EC 1.1.1.225) (Dihydrodiol dehydrogenase 4) (DD-4) (DD4) (HAKRA)	AKR1C4 CHDR	Homo sapiens (Human)	323	5alpha-androstane-3beta,17beta-diol dehydrogenase activity [GO:0047024]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; aldo-keto reductase (NADP) activity [GO:0004033]; androstan-3-alpha,17-beta-diol dehydrogenase activity [GO:0047044]; androsterone dehydrogenase activity [GO:0047023]; bile acid binding [GO:0032052]; bile acid transmembrane transporter activity [GO:0015125]; chlordecone reductase activity [GO:0047743]; dihydrotestosterone 17-beta-dehydrogenase activity [GO:0035410]; electron transfer activity [GO:0009055]; estradiol 17-beta-dehydrogenase [NAD(P)] activity [GO:0004303]; ketosteroid monooxygenase activity [GO:0047086]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; retinal dehydrogenase activity [GO:0001758]; testosterone 17-beta-dehydrogenase (NADP+) activity [GO:0047045]; testosterone dehydrogenase (NAD+) activity [GO:0047035]
EEF1B2	P24534	reviewed	EF1B_HUMAN	Elongation factor 1-beta (EF-1-beta)	EEF1B2 EEF1B EF1B	Homo sapiens (Human)	225	guanyl-nucleotide exchange factor activity [GO:0005085]; translation elongation factor activity [GO:0003746]
YY1	P25490	reviewed	TYY1_HUMAN	Transcriptional repressor protein YY1 (Delta transcription factor) (INO80 complex subunit S) (NF-E1) (Yin and yang 1) (YY-1)	YY1 INO80S	Homo sapiens (Human)	414	chromatin binding [GO:0003682]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA binding [GO:0003677]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription factor binding [GO:0140297]; DNA-binding transcription repressor activity [GO:0001217]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; four-way junction DNA binding [GO:0000400]; metal ion binding [GO:0046872]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific double-stranded DNA binding [GO:1990837]; SMAD binding [GO:0046332]; transcription cis-regulatory region binding [GO:0000976]
PAF1	P28328	reviewed	PEX2_HUMAN	Peroxisome biogenesis factor 2 (EC 2.3.2.27) (EC 2.3.2.36) (35 kDa peroxisomal membrane protein) (Peroxin-2) (Peroxisomal membrane protein 3) (Peroxisome assembly factor 1) (PAF-1) (RING finger protein 72)	PEX2 PAF1 PMP3 PMP35 PXMP3 RNF72	Homo sapiens (Human)	305	protein transmembrane transporter activity [GO:0008320]; ubiquitin protein ligase activity [GO:0061630]; zinc ion binding [GO:0008270]
EEF1D	P29692	reviewed	EF1D_HUMAN	Elongation factor 1-delta (EF-1-delta) (Antigen NY-CO-4)	EEF1D EF1D	Homo sapiens (Human)	281	cadherin binding [GO:0045296]; DNA binding [GO:0003677]; DNA-binding transcription factor binding [GO:0140297]; guanyl-nucleotide exchange factor activity [GO:0005085]; heat shock protein binding [GO:0031072]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; translation elongation factor activity [GO:0003746]; translation factor activity, RNA binding [GO:0008135]
GGT5	P36269	reviewed	GGT5_HUMAN	Glutathione hydrolase 5 proenzyme (EC 3.4.19.13) (Gamma-glutamyl transpeptidase-related enzyme) (GGT-rel) (Gamma-glutamyltransferase 5) (GGT 5) (EC 2.3.2.2) (Gamma-glutamyltransferase-like activity 1) (Gamma-glutamyltranspeptidase 5) (Leukotriene-C4 hydrolase) (EC 3.4.19.14) [Cleaved into: Glutathione hydrolase 5 heavy chain; Glutathione hydrolase 5 light chain]	GGT5 GGTLA1	Homo sapiens (Human)	586	glutathione hydrolase activity [GO:0036374]; leukotriene C4 gamma-glutamyl transferase activity [GO:0103068]; leukotriene-C(4) hydrolase [GO:0002951]; peptidyltransferase activity [GO:0000048]
LIPA	P38571	reviewed	LICH_HUMAN	Lysosomal acid lipase/cholesteryl ester hydrolase (Acid cholesteryl ester hydrolase) (LAL) (EC 3.1.1.13) (Cholesteryl esterase) (Lipase A) (Sterol esterase)	LIPA	Homo sapiens (Human)	399	lipase activity [GO:0016298]; sterol esterase activity [GO:0004771]
CCR2	P41597	reviewed	CCR2_HUMAN	C-C chemokine receptor type 2 (C-C CKR-2) (CC-CKR-2) (CCR-2) (CCR2) (Monocyte chemoattractant protein 1 receptor) (MCP-1-R) (CD antigen CD192)	CCR2 CMKBR2	Homo sapiens (Human)	374	C-C chemokine binding [GO:0019957]; C-C chemokine receptor activity [GO:0016493]; CCR2 chemokine receptor binding [GO:0031727]; chemokine (C-C motif) ligand 12 binding [GO:0035716]; chemokine (C-C motif) ligand 2 binding [GO:0035715]; chemokine (C-C motif) ligand 7 binding [GO:0035717]; chemokine receptor activity [GO:0004950]; identical protein binding [GO:0042802]
AKR1C3	P42330	reviewed	AK1C3_HUMAN	Aldo-keto reductase family 1 member C3 (EC 1.1.1.-) (EC 1.1.1.210) (EC 1.1.1.53) (EC 1.1.1.62) (17-beta-hydroxysteroid dehydrogenase type 5) (17-beta-HSD 5) (3-alpha-HSD type II, brain) (3-alpha-hydroxysteroid dehydrogenase type 2) (3-alpha-HSD type 2) (EC 1.1.1.357) (Chlordecone reductase homolog HAKRb) (Dihydrodiol dehydrogenase 3) (DD-3) (DD3) (Dihydrodiol dehydrogenase type I) (HA1753) (Prostaglandin F synthase) (PGFS) (EC 1.1.1.188) (Testosterone 17-beta-dehydrogenase 5) (EC 1.1.1.239, EC 1.1.1.64)	AKR1C3 DDH1 HSD17B5 KIAA0119 PGFS	Homo sapiens (Human)	323	15-hydroxyprostaglandin-D dehydrogenase (NADP+) activity [GO:0047020]; 5alpha-androstane-3beta,17beta-diol dehydrogenase activity [GO:0047024]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; aldo-keto reductase (NADP) activity [GO:0004033]; androstan-3-alpha,17-beta-diol dehydrogenase activity [GO:0047044]; androsterone dehydrogenase activity [GO:0047023]; bile acid binding [GO:0032052]; delta4-3-oxosteroid 5beta-reductase activity [GO:0047787]; dihydrotestosterone 17-beta-dehydrogenase activity [GO:0035410]; estradiol 17-beta-dehydrogenase [NAD(P)] activity [GO:0004303]; geranylgeranyl reductase activity [GO:0045550]; ketoreductase activity [GO:0045703]; ketosteroid monooxygenase activity [GO:0047086]; NAD-retinol dehydrogenase activity [GO:0004745]; NADP-retinol dehydrogenase activity [GO:0052650]; oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor [GO:0016655]; phenanthrene 9,10-monooxygenase activity [GO:0018636]; prostaglandin D2 11-ketoreductase activity [GO:0036131]; prostaglandin H2 endoperoxidase reductase activity [GO:0036130]; prostaglandin-F synthase activity [GO:0047017]; retinal dehydrogenase activity [GO:0001758]; testosterone 17-beta-dehydrogenase (NADP+) activity [GO:0047045]; testosterone dehydrogenase (NAD+) activity [GO:0047035]
TTF1	P43699	reviewed	NKX21_HUMAN	Homeobox protein Nkx-2.1 (Homeobox protein NK-2 homolog A) (Thyroid nuclear factor 1) (Thyroid transcription factor 1) (TTF-1) (Thyroid-specific enhancer-binding protein) (T/EBP)	NKX2-1 NKX2A TITF1 TTF1	Homo sapiens (Human)	371	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; enzyme binding [GO:0019899]; intronic transcription regulatory region sequence-specific DNA binding [GO:0001161]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; transcription cis-regulatory region binding [GO:0000976]
RPL21	P46778	reviewed	RL21_HUMAN	Large ribosomal subunit protein eL21 (60S ribosomal protein L21)	RPL21	Homo sapiens (Human)	160	RNA binding [GO:0003723]; structural constituent of ribosome [GO:0003735]
PCP4	P48539	reviewed	PCP4_HUMAN	Calmodulin regulator protein PCP4 (Brain-specific polypeptide PEP-19) (Purkinje cell protein 4)	PCP4 PEP19	Homo sapiens (Human)	62	calcium ion binding [GO:0005509]; calmodulin binding [GO:0005516]
CSNK1D	P48730	reviewed	KC1D_HUMAN	Casein kinase I isoform delta (CKI-delta) (CKId) (EC 2.7.11.1) (Tau-protein kinase CSNK1D) (EC 2.7.11.26)	CSNK1D HCKID	Homo sapiens (Human)	415	ATP binding [GO:0005524]; cadherin binding [GO:0045296]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; tau-protein kinase activity [GO:0050321]
FHIT	P49789	reviewed	FHIT_HUMAN	Bis(5'-adenosyl)-triphosphatase (EC 3.6.1.29) (AP3A hydrolase) (AP3Aase) (Adenosine 5'-monophosphoramidase FHIT) (EC 3.9.1.-) (Adenylylsulfatase) (EC 3.6.2.1) (Adenylylsulfate-ammonia adenylyltransferase) (EC 2.7.7.51) (Diadenosine 5',5'''-P1,P3-triphosphate hydrolase) (Dinucleosidetriphosphatase) (Fragile histidine triad protein)	FHIT	Homo sapiens (Human)	147	adenosine 5'-monophosphoramidase activity [GO:0043530]; adenylylsulfatase activity [GO:0047627]; adenylylsulfate-ammonia adenylyltransferase activity [GO:0047352]; bis(5'-adenosyl)-triphosphatase activity [GO:0047710]; identical protein binding [GO:0042802]; nucleotide binding [GO:0000166]; ubiquitin protein ligase binding [GO:0031625]
RGS19	P49795	reviewed	RGS19_HUMAN	Regulator of G-protein signaling 19 (RGS19) (G-alpha-interacting protein) (GAIP)	RGS19 GAIP GNAI3IP	Homo sapiens (Human)	217	G-protein alpha-subunit binding [GO:0001965]; GTPase activity [GO:0003924]
