From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (molecular function)
ZNF878	C9JN71	reviewed	ZN878_HUMAN	Zinc finger protein 878	ZNF878	Homo sapiens (Human)	531	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II transcription regulatory region sequence-specific DNA binding [GO:0000977]
TMEM178B	H3BS89	reviewed	T178B_HUMAN	Transmembrane protein 178B	TMEM178B	Homo sapiens (Human)	294	
UBXN8	O00124	reviewed	UBXN8_HUMAN	UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6)	UBXN8 D8S2298E REP8 UBXD6	Homo sapiens (Human)	270	protein-macromolecule adaptor activity [GO:0030674]; ubiquitin binding [GO:0043130]
KIF2A	O00139	reviewed	KIF2A_HUMAN	Kinesin-like protein KIF2A (Kinesin-2) (hK2)	KIF2A KIF2 KNS2	Homo sapiens (Human)	706	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; cytoskeletal motor activity [GO:0003774]; microtubule binding [GO:0008017]; microtubule motor activity [GO:0003777]
FXYD1	O00168	reviewed	PLM_HUMAN	Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1)	FXYD1 PLM	Homo sapiens (Human)	92	chloride channel activity [GO:0005254]; sodium channel regulator activity [GO:0017080]; transmembrane transporter binding [GO:0044325]
PGRMC1	O00264	reviewed	PGRC1_HUMAN	Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA)	PGRMC1 HPR6.6 PGRMC	Homo sapiens (Human)	195	amyloid-beta binding [GO:0001540]; heme binding [GO:0020037]; metal ion binding [GO:0046872]; protein homodimerization activity [GO:0042803]; steroid binding [GO:0005496]
TNFRSF11B	O00300	reviewed	TR11B_HUMAN	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	TNFRSF11B OCIF OPG	Homo sapiens (Human)	401	cytokine activity [GO:0005125]; signaling receptor activity [GO:0038023]
DCTN6	O00399	reviewed	DCTN6_HUMAN	Dynactin subunit 6 (Dynactin subunit p27) (Protein WS-3)	DCTN6 WS3	Homo sapiens (Human)	190	dynein complex binding [GO:0070840]
WASL	O00401	reviewed	WASL_HUMAN	Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP)	WASL	Homo sapiens (Human)	505	actin binding [GO:0003779]; GTPase regulator activity [GO:0030695]; microtubule binding [GO:0008017]
IMP3	O00425	reviewed	IF2B3_HUMAN	Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3)	IGF2BP3 IMP3 KOC1 VICKZ3	Homo sapiens (Human)	579	mRNA 3'-UTR binding [GO:0003730]; mRNA 5'-UTR binding [GO:0048027]; N6-methyladenosine-containing RNA reader activity [GO:1990247]; RNA binding [GO:0003723]; translation regulator activity [GO:0045182]
PLOD2	O00469	reviewed	PLOD2_HUMAN	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2 (EC 1.14.11.4) (Lysyl hydroxylase 2) (LH2)	PLOD2	Homo sapiens (Human)	737	iron ion binding [GO:0005506]; L-ascorbic acid binding [GO:0031418]; procollagen-lysine 5-dioxygenase activity [GO:0008475]
HMGN4	O00479	reviewed	HMGN4_HUMAN	High mobility group nucleosome-binding domain-containing protein 4 (Non-histone chromosomal protein HMG-17-like 3) (Non-histone chromosomal protein)	HMGN4 HMG17L3 NHC	Homo sapiens (Human)	90	chromatin binding [GO:0003682]; nucleosomal DNA binding [GO:0031492]
ZNF593	O00488	reviewed	ZN593_HUMAN	Zinc finger protein 593 (Zinc finger protein T86)	ZNF593 ZT86	Homo sapiens (Human)	134	DNA binding [GO:0003677]; preribosome binding [GO:1990275]; zinc ion binding [GO:0008270]
VWA5A	O00534	reviewed	VMA5A_HUMAN	von Willebrand factor A domain-containing protein 5A (Breast cancer suppressor candidate 1) (BCSC-1) (Loss of heterozygosity 11 chromosomal region 2 gene A protein)	VWA5A BCSC1 LOH11CR2A	Homo sapiens (Human)	786	
PES1	O00541	reviewed	PESC_HUMAN	Pescadillo homolog	PES1	Homo sapiens (Human)	588	ribonucleoprotein complex binding [GO:0043021]; RNA binding [GO:0003723]
MPHOSPH10	O00566	reviewed	MPP10_HUMAN	U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10)	MPHOSPH10 MPP10	Homo sapiens (Human)	681	RNA binding [GO:0003723]
NOP56	O00567	reviewed	NOP56_HUMAN	Nucleolar protein 56 (Nucleolar protein 5A)	NOP56 NOL5A	Homo sapiens (Human)	594	cadherin binding [GO:0045296]; histone methyltransferase binding [GO:1990226]; RNA binding [GO:0003723]; snoRNA binding [GO:0030515]
NRG2	O14511	reviewed	NRG2_HUMAN	Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Divergent of neuregulin-1) (DON-1) (Neural- and thymus-derived activator for ERBB kinases) (NTAK)]	NRG2 NTAK	Homo sapiens (Human)	850	growth factor activity [GO:0008083]; signaling receptor binding [GO:0005102]
NCKAP5	O14513	reviewed	NCKP5_HUMAN	Nck-associated protein 5 (NAP-5) (Peripheral clock protein)	NCKAP5 ERIH NAP5	Homo sapiens (Human)	1909	
COX7A2L	O14548	reviewed	COX7R_HUMAN	Cytochrome c oxidase subunit 7A-related protein, mitochondrial (COX7a-related protein) (Cytochrome c oxidase subunit VIIa-related protein) (EB1)	COX7A2L COX7AR COX7RP	Homo sapiens (Human)	114	cytochrome-c oxidase activity [GO:0004129]
UBFD1	O14562	reviewed	UBFD1_HUMAN	Ubiquitin domain-containing protein UBFD1 (Ubiquitin-binding protein homolog)	UBFD1 UBPH	Homo sapiens (Human)	309	cadherin binding [GO:0045296]; RNA binding [GO:0003723]
PRY	O14603	reviewed	PRY_HUMAN	PTPN13-like protein, Y-linked (Testis-specific PTP-BL-related Y protein)	PRY PRY1 PTPN13LY; PRY2 PTPN13LY2; PRYP3; PRYP4	Homo sapiens (Human)	147	
UTY	O14607	reviewed	UTY_HUMAN	Histone demethylase UTY (EC 1.14.11.68) (Ubiquitously-transcribed TPR protein on the Y chromosome) (Ubiquitously-transcribed Y chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase UTY)	UTY KDM6C	Homo sapiens (Human)	1347	chromatin DNA binding [GO:0031490]; histone demethylase activity [GO:0032452]; histone H3K27me2/H3K27me3 demethylase activity [GO:0071558]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
PRRG2	O14669	reviewed	TMG2_HUMAN	Transmembrane gamma-carboxyglutamic acid protein 2 (Proline-rich gamma-carboxyglutamic acid protein 2) (Proline-rich Gla protein 2)	PRRG2 PRGP2 TMG2	Homo sapiens (Human)	202	calcium ion binding [GO:0005509]
TNPO2	O14787	reviewed	TNPO2_HUMAN	Transportin-2 (Karyopherin beta-2b)	TNPO2	Homo sapiens (Human)	897	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; small GTPase binding [GO:0031267]
GEMIN2	O14893	reviewed	GEMI2_HUMAN	Gem-associated protein 2 (Gemin-2) (Component of gems 2) (Survival of motor neuron protein-interacting protein 1) (SMN-interacting protein 1)	GEMIN2 SIP1	Homo sapiens (Human)	280	
RGS12	O14924	reviewed	RGS12_HUMAN	Regulator of G-protein signaling 12 (RGS12)	RGS12	Homo sapiens (Human)	1447	GTPase activator activity [GO:0005096]; GTPase activity [GO:0003924]; GTPase regulator activity [GO:0030695]
PPP1R12A	O14974	reviewed	MYPT1_HUMAN	Protein phosphatase 1 regulatory subunit 12A (Myosin phosphatase-targeting subunit 1) (Myosin phosphatase target subunit 1) (Protein phosphatase myosin-binding subunit)	PPP1R12A MBS MYPT1	Homo sapiens (Human)	1030	14-3-3 protein binding [GO:0071889]; enzyme inhibitor activity [GO:0004857]; phosphatase regulator activity [GO:0019208]; protein kinase binding [GO:0019901]
TECPR2	O15040	reviewed	TCPR2_HUMAN	Tectonin beta-propeller repeat-containing protein 2 (WD repeat-containing protein KIAA0329/KIAA0297)	TECPR2 KIAA0297 KIAA0329	Homo sapiens (Human)	1411	
AXIN1	O15169	reviewed	AXIN1_HUMAN	Axin-1 (Axis inhibition protein 1) (hAxin)	AXIN1 AXIN	Homo sapiens (Human)	862	armadillo repeat domain binding [GO:0070016]; beta-catenin binding [GO:0008013]; enzyme binding [GO:0019899]; I-SMAD binding [GO:0070411]; identical protein binding [GO:0042802]; molecular adaptor activity [GO:0060090]; p53 binding [GO:0002039]; protein homodimerization activity [GO:0042803]; protein kinase binding [GO:0019901]; protein self-association [GO:0043621]; R-SMAD binding [GO:0070412]; signaling adaptor activity [GO:0035591]; SMAD binding [GO:0046332]; ubiquitin ligase-substrate adaptor activity [GO:1990756]; ubiquitin protein ligase binding [GO:0031625]
WDR46	O15213	reviewed	WDR46_HUMAN	WD repeat-containing protein 46 (WD repeat-containing protein BING4)	WDR46 BING4 C6orf11 FP221	Homo sapiens (Human)	610	RNA binding [GO:0003723]
NKRF	O15226	reviewed	NKRF_HUMAN	NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4)	NKRF ITBA4 NRF	Homo sapiens (Human)	690	ATPase activator activity [GO:0001671]; DNA-binding transcription activator activity, RNA polymerase II-specific [GO:0001228]; RNA binding [GO:0003723]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
MAPK13	O15264	reviewed	MK13_HUMAN	Mitogen-activated protein kinase 13 (MAP kinase 13) (MAPK 13) (EC 2.7.11.24) (Mitogen-activated protein kinase p38 delta) (MAP kinase p38 delta) (Stress-activated protein kinase 4)	MAPK13 PRKM13 SAPK4	Homo sapiens (Human)	365	ATP binding [GO:0005524]; MAP kinase activity [GO:0004707]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]
FANCG	O15287	reviewed	FANCG_HUMAN	Fanconi anemia group G protein (Protein FACG) (DNA repair protein XRCC9)	FANCG XRCC9	Homo sapiens (Human)	622	damaged DNA binding [GO:0003684]
PPM1D	O15297	reviewed	PPM1D_HUMAN	Protein phosphatase 1D (EC 3.1.3.16) (Protein phosphatase 2C isoform delta) (PP2C-delta) (Protein phosphatase magnesium-dependent 1 delta) (p53-induced protein phosphatase 1)	PPM1D WIP1	Homo sapiens (Human)	605	metal ion binding [GO:0046872]; mitogen-activated protein kinase binding [GO:0051019]; myosin phosphatase activity [GO:0017018]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine phosphatase activity [GO:0004722]
HMGB3	O15347	reviewed	HMGB3_HUMAN	High mobility group protein B3 (High mobility group protein 2a) (HMG-2a) (High mobility group protein 4) (HMG-4)	HMGB3 HMG2A HMG4	Homo sapiens (Human)	200	DNA binding, bending [GO:0008301]; double-stranded DNA binding [GO:0003690]; four-way junction DNA binding [GO:0000400]; RNA binding [GO:0003723]
NVL	O15381	reviewed	NVL_HUMAN	Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein)	NVL NVL2	Homo sapiens (Human)	856	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; preribosome binding [GO:1990275]; RNA binding [GO:0003723]
ABCC4	O15439	reviewed	MRP4_HUMAN	ATP-binding cassette sub-family C member 4 (EC 7.6.2.-) (EC 7.6.2.2) (EC 7.6.2.3) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B) (Multidrug resistance-associated protein 4)	ABCC4 MOATB MRP4	Homo sapiens (Human)	1325	15-hydroxyprostaglandin dehydrogenase (NAD+) activity [GO:0016404]; ABC-type bile acid transporter activity [GO:0015432]; ABC-type glutathione S-conjugate transporter activity [GO:0015431]; ABC-type transporter activity [GO:0140359]; ABC-type xenobiotic transporter activity [GO:0008559]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; ATPase-coupled inorganic anion transmembrane transporter activity [GO:0043225]; ATPase-coupled transmembrane transporter activity [GO:0042626]; efflux transmembrane transporter activity [GO:0015562]; glutathione transmembrane transporter activity [GO:0034634]; guanine nucleotide transmembrane transporter activity [GO:0001409]; prostaglandin transmembrane transporter activity [GO:0015132]; purine nucleotide transmembrane transporter activity [GO:0015216]; urate transmembrane transporter activity [GO:0015143]; xenobiotic transmembrane transporter activity [GO:0042910]
GYG2	O15488	reviewed	GLYG2_HUMAN	Glycogenin-2 (GN-2) (GN2) (EC 2.4.1.186)	GYG2	Homo sapiens (Human)	501	glycogenin glucosyltransferase activity [GO:0008466]; glycosyltransferase activity [GO:0016757]; metal ion binding [GO:0046872]; UDP-alpha-D-glucose:glucosyl-glycogenin alpha-D-glucosyltransferase activity [GO:0102751]
TAPBP	O15533	reviewed	TPSN_HUMAN	Tapasin (TPN) (TPSN) (NGS-17) (TAP-associated protein) (TAP-binding protein)	TAPBP NGS17 TAPA	Homo sapiens (Human)	448	MHC class I protein binding [GO:0042288]; MHC class I protein complex binding [GO:0023024]; molecular adaptor activity [GO:0060090]; peptide antigen binding [GO:0042605]; protein folding chaperone [GO:0044183]; TAP complex binding [GO:0062061]; TAP1 binding [GO:0046978]; TAP2 binding [GO:0046979]; unfolded protein binding [GO:0051082]
P2RX6	O15547	reviewed	P2RX6_HUMAN	P2X purinoceptor 6 (P2X6) (ATP receptor) (P2XM) (Purinergic receptor) (Purinergic receptor P2X-like 1)	P2RX6 P2RXL1 P2X6	Homo sapiens (Human)	441	ATP binding [GO:0005524]; channel activity [GO:0015267]; extracellularly ATP-gated monoatomic cation channel activity [GO:0004931]; protein-containing complex binding [GO:0044877]; purinergic nucleotide receptor activity [GO:0001614]; transmembrane signaling receptor activity [GO:0004888]
KDM6A	O15550	reviewed	KDM6A_HUMAN	Lysine-specific demethylase 6A (EC 1.14.11.68) (Histone demethylase UTX) (Ubiquitously-transcribed TPR protein on the X chromosome) (Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase 6A)	KDM6A UTX	Homo sapiens (Human)	1401	chromatin DNA binding [GO:0031490]; histone demethylase activity [GO:0032452]; histone H3K27me2/H3K27me3 demethylase activity [GO:0071558]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
RRP8	O43159	reviewed	RRP8_HUMAN	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin)	RRP8 KIAA0409 NML hucep-1	Homo sapiens (Human)	456	methylated histone binding [GO:0035064]; RNA binding [GO:0003723]; S-adenosylmethionine-dependent methyltransferase activity [GO:0008757]
ZBTB43	O43298	reviewed	ZBT43_HUMAN	Zinc finger and BTB domain-containing protein 43 (Zinc finger and BTB domain-containing protein 22B) (Zinc finger protein 297B) (ZnF-x)	ZBTB43 KIAA0414 ZBTB22B ZNF297B	Homo sapiens (Human)	467	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; RNA polymerase III general transcription initiation factor binding [GO:0001025]; sequence-specific double-stranded DNA binding [GO:1990837]
SPRY3	O43610	reviewed	SPY3_HUMAN	Protein sprouty homolog 3 (Spry-3) (Sprouty RTK signaling antagonist 3) (Sprouty3)	SPRY3	Homo sapiens (Human)	288	
LDB2	O43679	reviewed	LDB2_HUMAN	LIM domain-binding protein 2 (LDB-2) (Carboxyl-terminal LIM domain-binding protein 1) (CLIM-1) (LIM domain-binding factor CLIM1)	LDB2 CLIM1	Homo sapiens (Human)	373	enzyme binding [GO:0019899]; LIM domain binding [GO:0030274]; transcription coregulator activity [GO:0003712]
GET3	O43681	reviewed	GET3_HUMAN	ATPase GET3 (EC 3.6.-.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)	GET3 ARSA ASNA1 TRC40	Homo sapiens (Human)	348	arsenite transmembrane transporter activity [GO:0015105]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; membrane insertase activity [GO:0032977]; metal ion binding [GO:0046872]
BUD23	O43709	reviewed	BUD23_HUMAN	Probable 18S rRNA (guanine-N(7))-methyltransferase (EC 2.1.1.-) (Bud site selection protein 23 homolog) (Metastasis-related methyltransferase 1) (Williams-Beuren syndrome chromosomal region 22 protein) (rRNA methyltransferase and ribosome maturation factor)	BUD23 MERM1 WBSCR22 HUSSY-03 PP3381	Homo sapiens (Human)	281	methyltransferase activity [GO:0008168]; protein heterodimerization activity [GO:0046982]; RNA binding [GO:0003723]; rRNA (guanine) methyltransferase activity [GO:0016435]
CHP2	O43745	reviewed	CHP2_HUMAN	Calcineurin B homologous protein 2 (Hepatocellular carcinoma-associated antigen 520)	CHP2 HCA520	Homo sapiens (Human)	196	calcium ion binding [GO:0005509]
ENSA	O43768	reviewed	ENSA_HUMAN	Alpha-endosulfine (ARPP-19e)	ENSA	Homo sapiens (Human)	121	ion channel inhibitor activity [GO:0008200]; phosphatase inhibitor activity [GO:0019212]; potassium channel inhibitor activity [GO:0019870]; protein phosphatase 2A binding [GO:0051721]; protein phosphatase inhibitor activity [GO:0004864]; protein phosphatase regulator activity [GO:0019888]; signaling receptor binding [GO:0005102]
ZBTB14	O43829	reviewed	ZBT14_HUMAN	Zinc finger and BTB domain-containing protein 14 (Zinc finger protein 161 homolog) (Zfp-161) (Zinc finger protein 478) (Zinc finger protein 5 homolog) (ZF5) (Zfp-5) (hZF5)	ZBTB14 ZFP161 ZNF478	Homo sapiens (Human)	449	DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription cis-regulatory region binding [GO:0000976]
GAS2	O43903	reviewed	GAS2_HUMAN	Growth arrest-specific protein 2 (GAS-2)	GAS2	Homo sapiens (Human)	313	actin filament binding [GO:0051015]; cytoskeletal anchor activity [GO:0008093]; microtubule binding [GO:0008017]
ORC4	O43929	reviewed	ORC4_HUMAN	Origin recognition complex subunit 4	ORC4 ORC4L	Homo sapiens (Human)	436	ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; DNA replication origin binding [GO:0003688]; nucleotide binding [GO:0000166]
SSX4	O60224	reviewed	SSX4_HUMAN	Protein SSX4 (Cancer/testis antigen 5.4) (CT5.4)	SSX4 SSX4A; SSX4B	Homo sapiens (Human)	188	
SSX5	O60225	reviewed	SSX5_HUMAN	Protein SSX5	SSX5	Homo sapiens (Human)	188	
SOX15	O60248	reviewed	SOX15_HUMAN	Protein SOX-15 (Protein SOX-12) (Protein SOX-20)	SOX15 SOX12 SOX20 SOX26 SOX27	Homo sapiens (Human)	233	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
URB1	O60287	reviewed	NPA1P_HUMAN	Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog)	URB1 C21orf108 KIAA0539 NOP254 NPA1	Homo sapiens (Human)	2271	RNA binding [GO:0003723]
ZEB2	O60315	reviewed	ZEB2_HUMAN	Zinc finger E-box-binding homeobox 2 (Smad-interacting protein 1) (SMADIP1) (Zinc finger homeobox protein 1b)	ZEB2 KIAA0569 SIP1 ZFHX1B ZFX1B HRIHFB2411	Homo sapiens (Human)	1214	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001227]; metal ion binding [GO:0046872]; phosphatase regulator activity [GO:0019208]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
MAPKBP1	O60336	reviewed	MABP1_HUMAN	Mitogen-activated protein kinase-binding protein 1 (JNK-binding protein 1) (JNKBP-1)	MAPKBP1 JNKBP1 KIAA0596	Homo sapiens (Human)	1514	
ZNF354A	O60765	reviewed	Z354A_HUMAN	Zinc finger protein 354A (Transcription factor 17) (TCF-17) (Zinc finger protein eZNF)	ZNF354A EZNF HKL1 TCF17	Homo sapiens (Human)	605	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; metal ion binding [GO:0046872]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]
DKC1	O60832	reviewed	DKC1_HUMAN	H/ACA ribonucleoprotein complex subunit DKC1 (EC 5.4.99.-) (CBF5 homolog) (Dyskerin) (Nopp140-associated protein of 57 kDa) (Nucleolar protein NAP57) (Nucleolar protein family A member 4) (snoRNP protein DKC1)	DKC1 NOLA4	Homo sapiens (Human)	514	box H/ACA snoRNA binding [GO:0034513]; pseudouridine synthase activity [GO:0009982]; RNA binding [GO:0003723]; telomerase activity [GO:0003720]; telomerase RNA binding [GO:0070034]
DIAPH2	O60879	reviewed	DIAP2_HUMAN	Protein diaphanous homolog 2 (Diaphanous-related formin-2) (DRF2)	DIAPH2 DIA	Homo sapiens (Human)	1101	actin binding [GO:0003779]; signaling receptor binding [GO:0005102]; small GTPase binding [GO:0031267]
DNAJA2	O60884	reviewed	DNJA2_HUMAN	DnaJ homolog subfamily A member 2 (Cell cycle progression restoration gene 3 protein) (Dnj3) (Dj3) (HIRA-interacting protein 4) (Renal carcinoma antigen NY-REN-14)	DNAJA2 CPR3 HIRIP4	Homo sapiens (Human)	412	ATP binding [GO:0005524]; ATPase activator activity [GO:0001671]; Hsp70 protein binding [GO:0030544]; metal ion binding [GO:0046872]; protein-folding chaperone binding [GO:0051087]; unfolded protein binding [GO:0051082]
TBL1X	O60907	reviewed	TBL1X_HUMAN	F-box-like/WD repeat-containing protein TBL1X (SMAP55) (Transducin beta-like protein 1X) (Transducin-beta-like protein 1, X-linked)	TBL1X TBL1	Homo sapiens (Human)	577	histone binding [GO:0042393]; identical protein binding [GO:0042802]; transcription cis-regulatory region binding [GO:0000976]; transcription corepressor activity [GO:0003714]
PFDN1	O60925	reviewed	PFD1_HUMAN	Prefoldin subunit 1	PFDN1 PFD1	Homo sapiens (Human)	122	amyloid-beta binding [GO:0001540]; protein folding chaperone [GO:0044183]; unfolded protein binding [GO:0051082]
EFCAB14	O75071	reviewed	EFC14_HUMAN	EF-hand calcium-binding domain-containing protein 14	EFCAB14 KIAA0494	Homo sapiens (Human)	495	calcium ion binding [GO:0005509]
