sample,spot_id,pixels,mean_intensity,centroid_r,centroid_c,microns
Control-roi-01,45,16,0.026552605,122,1416,0.028936732
Control-roi-01,46,12,0.034362046,125,444,0.021702549
Control-roi-01,47,16,0.03269913,126,146,0.028936732
Control-roi-01,48,22,0.033363158,127,1403,0.039788006
Control-roi-01,49,21,0.034697563,130,139,0.03797946
Control-roi-01,50,26,0.032214143,130,423,0.047022189
Control-roi-01,51,29,0.041558209,130,1390,0.052447826
Control-roi-01,52,20,0.029172198,131,182,0.036170915
Control-roi-01,53,19,0.051849353,132,441,0.034362369
Control-roi-01,54,40,0.056026169,135,464,0.072341829
Control-roi-01,55,72,0.071355425,140,446,0.130215292
Control-roi-01,56,43,0.038066292,141,172,0.077767466
Control-roi-01,57,16,0.028664073,140,1408,0.028936732
Control-roi-01,58,42,0.064333853,143,132,0.075958921
Control-roi-01,59,27,0.041420332,143,157,0.048830735
Control-roi-01,60,34,0.043766914,148,461,0.061490555
Control-roi-01,61,27,0.049739325,150,126,0.048830735
Control-roi-01,62,26,0.040504487,152,166,0.047022189
Control-roi-01,63,45,0.070599425,155,155,0.081384558
Control-roi-01,64,45,0.066211609,156,418,0.081384558
Control-roi-01,65,9,0.027981655,154,453,0.016276912
Control-roi-01,66,41,0.044532153,157,1255,0.074150375
Control-roi-01,67,21,0.030792706,157,1418,0.03797946
Control-roi-01,68,46,0.07258584,161,478,0.083193104
Control-roi-01,69,33,0.039070957,159,1270,0.059682009
Control-roi-01,70,30,0.051009384,160,465,0.054256372
Control-roi-01,71,54,0.073333446,162,436,0.097661469
Control-roi-01,72,12,0.027052974,161,146,0.021702549
Control-roi-01,73,64,0.052083572,165,1433,0.115746927
Control-roi-01,74,41,0.062515096,170,422,0.074150375
Control-roi-01,75,22,0.031629872,170,1282,0.039788006
Control-roi-01,76,56,0.06848467,174,452,0.101278561
Control-roi-01,77,19,0.044056812,173,467,0.034362369
Control-roi-01,78,18,0.04169443,174,152,0.032553823
Control-roi-01,79,32,0.051780537,176,1448,0.057873463
Control-roi-01,80,41,0.064453736,177,144,0.074150375
Control-roi-01,81,23,0.044273057,176,477,0.041596552
Control-roi-01,82,49,0.055589862,177,492,0.088618741
Control-roi-01,83,30,0.045442893,178,1437,0.054256372
Control-roi-01,84,27,0.032576316,178,1256,0.048830735
Control-roi-01,85,55,0.044528045,180,272,0.099470015
Control-roi-01,86,23,0.049680058,179,462,0.041596552
Control-roi-01,87,34,0.056549486,181,435,0.061490555
Control-roi-01,88,9,0.026165832,182,424,0.016276912
Control-roi-01,89,30,0.033784492,183,513,0.054256372
Control-roi-01,90,15,0.026396073,183,1410,0.027128186
Control-roi-01,91,27,0.036751637,184,1423,0.048830735
Control-roi-01,92,9,0.028703916,184,476,0.016276912
Control-roi-01,93,119,0.085047505,192,451,0.215216942
Control-roi-01,94,12,0.025223163,185,1446,0.021702549
Control-roi-01,95,42,0.055806966,188,253,0.075958921
Control-roi-01,96,44,0.060649757,189,83,0.079576012
Control-roi-01,97,31,0.050585626,190,487,0.056064918
Control-roi-01,98,16,0.04235523,190,496,0.028936732
Control-roi-01,99,15,0.028841586,190,1435,0.027128186
Control-roi-01,100,33,0.045792787,191,263,0.059682009
Control-roi-01,101,50,0.071976806,192,434,0.090427286
Control-roi-01,102,15,0.032493578,192,1426,0.027128186
Control-roi-01,103,27,0.040265168,198,420,0.048830735
Control-roi-01,104,36,0.046031383,200,87,0.065107646
Control-roi-01,105,16,0.037549592,200,494,0.028936732
Control-roi-01,106,32,0.045023175,201,1736,0.057873463
Control-roi-01,107,48,0.075298505,205,507,0.086810195
Control-roi-01,108,95,0.145973265,207,431,0.171811844
Control-roi-01,109,62,0.097307521,207,240,0.112129835
Control-roi-01,110,35,0.037686732,207,525,0.063299101
Control-roi-01,111,15,0.023272043,206,1673,0.027128186
Control-roi-01,112,22,0.032817301,207,474,0.039788006
Control-roi-01,113,26,0.039036686,208,1692,0.047022189
Control-roi-01,114,29,0.038740552,209,96,0.052447826
Control-roi-01,115,22,0.028985206,209,1722,0.039788006
Control-roi-01,116,27,0.036301778,211,109,0.048830735
Control-roi-01,117,33,0.041495292,213,1743,0.059682009
Control-roi-01,118,31,0.044312692,215,87,0.056064918
Control-roi-01,119,16,0.034326123,214,1712,0.028936732
Control-roi-01,120,12,0.039747209,216,510,0.021702549
Control-roi-01,121,37,0.044008669,221,475,0.066916192
Control-roi-01,122,32,0.045513848,222,494,0.057873463
Control-roi-01,123,44,0.057737364,223,120,0.079576012
Control-roi-01,124,24,0.036715114,222,539,0.043405097
Control-roi-01,125,41,0.067538664,224,508,0.074150375
Control-roi-01,126,22,0.032095965,224,100,0.039788006
Control-roi-01,127,19,0.029952657,224,524,0.034362369
Control-roi-01,128,9,0.02532489,224,1697,0.016276912
Control-roi-01,129,9,0.026304858,225,1738,0.016276912
Control-roi-01,130,22,0.054272179,227,499,0.039788006
Control-roi-01,131,15,0.032031739,227,1653,0.027128186
Control-roi-01,132,32,0.042847333,228,1764,0.057873463
Control-roi-01,133,45,0.065753499,230,130,0.081384558
Control-roi-01,134,12,0.024757763,229,1644,0.021702549
Control-roi-01,135,41,0.044949357,233,483,0.074150375
Control-roi-01,136,31,0.035997017,232,1675,0.056064918
Control-roi-01,137,29,0.038767387,233,1721,0.052447826
Control-roi-01,138,26,0.035339308,234,1752,0.047022189
Control-roi-01,139,12,0.026237888,232,1772,0.021702549
Control-roi-01,140,18,0.040446581,235,501,0.032553823
Control-roi-01,141,38,0.033944096,236,1694,0.068724738
Control-roi-01,142,35,0.041373312,236,87,0.063299101
Control-roi-01,143,31,0.040358636,237,536,0.056064918
Control-roi-01,144,46,0.06481734,239,471,0.083193104
Control-roi-01,145,22,0.035174126,239,490,0.039788006
Control-roi-01,146,15,0.040436408,240,516,0.027128186
Control-roi-01,147,27,0.03615484,240,1665,0.048830735
Control-roi-01,148,34,0.039704873,240,1738,0.061490555
Control-roi-01,149,48,0.058832113,242,116,0.086810195
Control-roi-01,150,15,0.0270339,241,458,0.027128186
Control-roi-01,151,23,0.029578619,241,1709,0.041596552
Control-roi-01,152,22,0.045024518,242,97,0.039788006
Control-roi-01,153,27,0.056465728,243,509,0.048830735
Control-roi-01,154,15,0.030361385,242,1778,0.027128186
Control-roi-01,155,53,0.072664038,247,526,0.095852924
Control-roi-01,156,16,0.026326581,244,896,0.028936732
Control-roi-01,157,39,0.052546594,247,138,0.070533283
Control-roi-01,158,41,0.060121291,248,89,0.074150375
Control-roi-01,159,16,0.034010452,250,104,0.028936732
Control-roi-01,160,22,0.038035193,251,1719,0.039788006
Control-roi-01,161,9,0.022705425,253,476,0.016276912
Control-roi-01,162,21,0.028281507,254,1708,0.03797946
Control-roi-01,163,26,0.039382949,258,110,0.047022189
Control-roi-01,164,28,0.052487221,260,140,0.05063928
Control-roi-01,165,35,0.047684443,260,458,0.063299101
Control-roi-01,166,29,0.038928396,259,893,0.052447826
Control-roi-01,167,44,0.064622651,262,122,0.079576012
Control-roi-01,168,47,0.081837706,262,151,0.085001649
Control-roi-01,169,16,0.031230449,260,908,0.028936732
Control-roi-01,170,9,0.027132236,263,915,0.016276912
Control-roi-01,171,22,0.026814957,265,488,0.039788006
Control-roi-01,172,39,0.053724277,267,1702,0.070533283
Control-roi-01,173,50,0.062005035,270,128,0.090427286
Control-roi-01,174,9,0.028697134,269,1722,0.016276912
Control-roi-01,175,12,0.023765927,270,1746,0.021702549
Control-roi-01,176,44,0.046646483,274,898,0.079576012
Control-roi-01,177,40,0.072737087,274,112,0.072341829
Control-roi-01,178,37,0.044671405,275,884,0.066916192
Control-roi-01,179,15,0.02224155,277,491,0.027128186
Control-roi-01,180,39,0.039827612,278,1080,0.070533283
Control-roi-01,181,29,0.067847399,279,120,0.052447826
Control-roi-01,182,12,0.025925078,279,1090,0.021702549
Control-roi-01,183,30,0.039693294,281,1702,0.054256372
Control-roi-01,184,12,0.034283207,279,1738,0.021702549
Control-roi-01,185,20,0.034892805,280,1719,0.036170915
Control-roi-01,186,32,0.040004864,282,926,0.057873463
Control-roi-01,187,21,0.036225645,283,895,0.03797946
Control-roi-01,188,9,0.02837839,282,942,0.016276912
Control-roi-01,189,40,0.050621042,285,1753,0.072341829
Control-roi-01,190,50,0.089704433,287,112,0.090427286
Control-roi-01,191,9,0.030543475,285,1743,0.016276912
Control-roi-01,192,15,0.032371506,288,933,0.027128186
Control-roi-01,193,22,0.031806738,288,944,0.039788006
Control-roi-01,194,19,0.0453723,291,90,0.034362369
Control-roi-01,195,44,0.05541938,293,870,0.079576012
Control-roi-01,196,12,0.030174716,290,903,0.021702549
Control-roi-01,197,19,0.032986793,292,880,0.034362369
Control-roi-01,198,15,0.028870069,293,1725,0.027128186
Control-roi-01,199,39,0.050362597,296,953,0.070533283
Control-roi-01,200,58,0.085244526,298,86,0.104895652
Control-roi-01,201,23,0.031495285,298,819,0.041596552
Control-roi-01,202,31,0.044981628,300,109,0.056064918
Control-roi-01,203,15,0.02961471,301,911,0.027128186
Control-roi-01,204,55,0.060631862,303,898,0.099470015
Control-roi-01,205,18,0.026660054,304,120,0.032553823
Control-roi-01,206,9,0.025572425,303,883,0.016276912
Control-roi-01,207,15,0.02622619,304,1699,0.027128186
Control-roi-01,208,9,0.026832142,305,849,0.016276912
Control-roi-01,209,9,0.025251986,307,872,0.016276912
Control-roi-01,210,22,0.031311513,308,854,0.039788006
Control-roi-01,211,34,0.037372037,309,928,0.061490555
Control-roi-01,212,26,0.027926358,311,832,0.047022189
Control-roi-01,213,27,0.05637813,314,888,0.048830735
Control-roi-01,214,71,0.098068229,317,110,0.128406747
Control-roi-01,215,15,0.024906793,315,1059,0.027128186
Control-roi-01,216,31,0.048347473,317,912,0.056064918
Control-roi-01,217,56,0.063626852,321,869,0.101278561
Control-roi-01,218,29,0.050184292,320,894,0.052447826
Control-roi-01,219,35,0.041944435,322,880,0.063299101
Control-roi-01,220,16,0.026474403,324,836,0.028936732
Control-roi-01,221,32,0.042486362,325,903,0.057873463
Control-roi-01,222,36,0.043428448,328,807,0.065107646
Control-roi-01,223,23,0.034618077,328,824,0.041596552
Control-roi-01,224,31,0.03641984,332,919,0.056064918
Control-roi-01,225,22,0.031932278,336,815,0.039788006
Control-roi-01,226,9,0.024100777,335,905,0.016276912
Control-roi-01,227,19,0.03064895,338,881,0.034362369
Control-roi-01,228,32,0.039979114,338,862,0.057873463
Control-roi-01,229,15,0.030617736,340,890,0.027128186
Control-roi-01,230,33,0.042618448,345,1522,0.059682009
Control-roi-01,231,26,0.03520315,345,838,0.047022189
Control-roi-01,232,18,0.032360995,344,851,0.032553823
Control-roi-01,233,24,0.034386206,346,822,0.043405097
Control-roi-01,234,32,0.036859598,347,925,0.057873463
Control-roi-01,235,19,0.034008344,347,900,0.034362369
Control-roi-01,236,43,0.047280612,350,1510,0.077767466
Control-roi-01,237,33,0.03481184,350,884,0.059682009
Control-roi-01,238,26,0.038939263,352,857,0.047022189
Control-roi-01,239,24,0.03816345,354,914,0.043405097
Control-roi-01,240,18,0.031697227,355,1487,0.032553823
Control-roi-01,241,31,0.044253625,360,865,0.056064918
Control-roi-01,242,35,0.075325508,363,1511,0.063299101
Control-roi-01,243,18,0.025741122,363,907,0.032553823
Control-roi-01,244,12,0.059884031,364,1503,0.021702549
Control-roi-01,245,9,0.030041623,364,815,0.016276912
Control-roi-01,246,9,0.028400431,364,1473,0.016276912
Control-roi-01,247,31,0.03730191,365,1486,0.056064918
Control-roi-01,248,38,0.053971964,367,848,0.068724738
Control-roi-01,249,39,0.050224484,367,1457,0.070533283
Control-roi-01,250,19,0.033812386,367,881,0.034362369
Control-roi-01,251,30,0.039750261,368,779,0.054256372
Control-roi-01,252,18,0.028842942,368,823,0.032553823
Control-roi-01,253,43,0.05051446,370,806,0.077767466
Control-roi-01,254,35,0.068992578,370,1504,0.063299101
Control-roi-01,255,29,0.042595297,371,888,0.052447826
Control-roi-01,256,19,0.027862171,372,869,0.034362369
Control-roi-01,257,9,0.035321245,375,852,0.016276912
Control-roi-01,258,35,0.053821622,378,796,0.063299101
Control-roi-01,259,16,0.032548447,380,784,0.028936732
Control-roi-01,260,16,0.030828946,380,888,0.028936732
Control-roi-01,261,30,0.034255487,383,820,0.054256372
Control-roi-01,262,28,0.030131664,383,840,0.05063928
Control-roi-01,263,22,0.031333708,384,1454,0.039788006
Control-roi-01,264,57,0.049305648,385,1499,0.103087107
Control-roi-01,265,38,0.054233776,388,871,0.068724738
Control-roi-01,266,22,0.037314551,389,861,0.039788006
Control-roi-01,267,36,0.05105372,392,786,0.065107646
Control-roi-01,268,9,0.034454871,393,1504,0.016276912
Control-roi-01,269,31,0.04521642,398,769,0.056064918
Control-roi-01,270,22,0.036058456,398,856,0.039788006
Control-roi-01,271,57,0.067585688,406,803,0.103087107
Control-roi-01,272,15,0.032447801,404,817,0.027128186
Control-roi-01,273,15,0.036816968,405,770,0.027128186
Control-roi-01,274,37,0.031127167,408,848,0.066916192
Control-roi-01,275,43,0.048435684,409,1438,0.077767466
Control-roi-01,276,19,0.032333064,409,833,0.034362369
Control-roi-01,277,28,0.041395547,411,824,0.05063928
Control-roi-01,278,9,0.022888533,412,1451,0.016276912
Control-roi-01,279,28,0.040754668,414,786,0.05063928
Control-roi-01,280,45,0.04447971,418,755,0.081384558
Control-roi-01,281,26,0.033690747,418,844,0.047022189
Control-roi-01,282,26,0.046902712,419,777,0.047022189
Control-roi-01,283,12,0.027704026,423,816,0.021702549
Control-roi-01,284,20,0.038923476,426,793,0.036170915
Control-roi-01,285,24,0.036357799,426,1438,0.043405097
Control-roi-01,286,30,0.0395346,428,760,0.054256372
Control-roi-01,287,36,0.056931411,431,775,0.065107646
Control-roi-01,288,26,0.036717902,434,800,0.047022189
Control-roi-01,289,9,0.027522189,433,810,0.016276912
Control-roi-01,290,16,0.03426318,436,1440,0.028936732
Control-roi-01,291,18,0.044668243,439,775,0.032553823
Control-roi-01,292,44,0.037290275,446,1453,0.079576012
Control-roi-01,293,41,0.044732381,447,798,0.074150375
Control-roi-01,294,41,0.062602556,447,1376,0.074150375
Control-roi-01,295,12,0.026480761,446,1441,0.021702549
Control-roi-01,296,18,0.029912769,448,1423,0.032553823
Control-roi-01,297,15,0.024356451,448,1479,0.027128186
Control-roi-01,298,37,0.042765265,454,771,0.066916192
Control-roi-01,299,12,0.038214949,451,780,0.021702549
Control-roi-01,300,37,0.035233906,454,1634,0.066916192
Control-roi-01,301,27,0.041396031,454,788,0.048830735
Control-roi-01,302,12,0.033384197,453,1800,0.021702549
Control-roi-01,303,27,0.035204259,456,1416,0.048830735
Control-roi-01,304,35,0.041476637,457,1811,0.063299101
Control-roi-01,305,27,0.059167705,459,1675,0.048830735
Control-roi-01,306,15,0.039282826,459,1668,0.027128186
Control-roi-01,307,40,0.056731518,463,1467,0.072341829
Control-roi-01,308,26,0.034887993,462,1486,0.047022189
Control-roi-01,309,25,0.04532784,462,1653,0.045213643
Control-roi-01,310,14,0.034215087,462,1800,0.02531964
Control-roi-01,311,9,0.028754779,462,1411,0.016276912
Control-roi-01,312,28,0.070493956,463,1682,0.05063928
Control-roi-01,313,32,0.046789406,464,1646,0.057873463
Control-roi-01,314,36,0.061589651,464,1692,0.065107646
Control-roi-01,315,18,0.02552241,464,796,0.032553823
Control-roi-01,316,23,0.031653182,465,1746,0.041596552
Control-roi-01,317,18,0.024061782,466,1389,0.032553823
Control-roi-01,318,31,0.035941396,468,1627,0.056064918
Control-roi-01,319,19,0.03264467,468,1452,0.034362369
Control-roi-01,320,32,0.042975605,471,1814,0.057873463
Control-roi-01,321,22,0.035378736,472,1416,0.039788006
Control-roi-01,322,19,0.027871005,472,1403,0.034362369
Control-roi-01,323,15,0.036155744,473,1463,0.027128186
Control-roi-01,324,26,0.034248288,474,1786,0.047022189
Control-roi-01,325,12,0.027968516,474,782,0.021702549
Control-roi-01,326,29,0.04202966,475,1476,0.052447826
Control-roi-01,327,23,0.030774793,475,1694,0.041596552
Control-roi-01,328,22,0.034789876,478,1676,0.039788006
Control-roi-01,329,40,0.048952087,481,1662,0.072341829
Control-roi-01,330,23,0.036906266,481,1423,0.041596552
Control-roi-01,331,34,0.056415297,482,1750,0.061490555
Control-roi-01,332,21,0.041911447,482,1435,0.03797946
Control-roi-01,333,19,0.030209651,486,782,0.034362369
Control-roi-01,334,28,0.054109582,486,1758,0.05063928
Control-roi-01,335,35,0.047461662,489,1459,0.063299101
Control-roi-01,336,40,0.0521561,490,1686,0.072341829
Control-roi-01,337,12,0.030959284,489,1434,0.021702549
Control-roi-01,338,47,0.063850241,491,1631,0.085001649
Control-roi-01,339,25,0.029746548,492,1448,0.045213643
Control-roi-01,340,28,0.04329911,493,1646,0.05063928
Control-roi-01,341,9,0.033179895,492,1744,0.016276912
Control-roi-01,342,12,0.032619974,493,1760,0.021702549
Control-roi-01,343,34,0.032507551,498,1474,0.061490555
Control-roi-01,344,33,0.045242538,496,1486,0.059682009
Control-roi-01,345,9,0.028327526,496,1656,0.016276912
Control-roi-01,346,9,0.020263981,498,682,0.016276912
Control-roi-01,347,18,0.03479057,501,1633,0.032553823
Control-roi-01,348,22,0.034087961,501,1688,0.039788006
Control-roi-01,349,36,0.049106923,504,1739,0.065107646
Control-roi-01,350,27,0.040148747,504,5,0.048830735
Control-roi-01,351,31,0.047476724,507,1652,0.056064918
Control-roi-01,352,29,0.040001263,509,1624,0.052447826
Control-roi-01,353,45,0.045132796,513,21,0.081384558
Control-roi-01,354,15,0.036615549,512,1751,0.027128186
Control-roi-01,355,22,0.031948924,515,1645,0.039788006
Control-roi-01,356,18,0.042459924,516,1759,0.032553823
Control-roi-01,357,9,0.023159804,520,1683,0.016276912
Control-roi-01,358,49,0.059706373,523,1655,0.088618741
Control-roi-01,359,18,0.028995532,524,1672,0.032553823
Control-roi-01,360,47,0.05078657,528,1767,0.085001649
Control-roi-01,361,55,0.083187194,530,19,0.099470015
Control-roi-01,362,38,0.052401489,534,3,0.068724738
Control-roi-01,363,53,0.072557225,542,31,0.095852924
Control-roi-01,364,9,0.032603443,546,41,0.016276912
Control-roi-01,365,29,0.038047582,557,19,0.052447826
Control-roi-01,366,34,0.066344432,560,5,0.061490555
Control-roi-01,367,8,0.047987716,568,0,0.014468366
Control-roi-01,368,31,0.044611473,574,24,0.056064918
Control-roi-01,369,27,0.032834024,578,1589,0.048830735
Control-roi-01,370,26,0.049726805,580,16,0.047022189
Control-roi-01,371,26,0.047739024,583,8,0.047022189
Control-roi-01,372,58,0.066209159,585,1611,0.104895652
Control-roi-01,373,14,0.031861928,588,1600,0.02531964
Control-roi-01,374,37,0.04826841,595,7,0.066916192
Control-roi-01,375,36,0.054954943,595,1618,0.065107646
Control-roi-01,376,54,0.07426792,599,1593,0.097661469
Control-roi-01,377,68,0.062500729,607,16,0.12298111
Control-roi-01,378,48,0.051252511,606,1584,0.086810195
Control-roi-01,379,23,0.034376586,607,1569,0.041596552
Control-roi-01,380,22,0.04421371,607,1626,0.039788006
Control-roi-01,381,55,0.063842915,610,286,0.099470015
Control-roi-01,382,32,0.041250381,609,1600,0.057873463
Control-roi-01,383,37,0.055118474,609,1640,0.066916192
Control-roi-01,384,38,0.049410721,610,1612,0.068724738
Control-roi-01,385,45,0.075725439,615,264,0.081384558
Control-roi-01,386,23,0.037543828,615,276,0.041596552
Control-roi-01,387,16,0.040036812,614,1592,0.028936732
Control-roi-01,388,19,0.037158128,615,1627,0.034362369
Control-roi-01,389,40,0.043760586,626,250,0.072341829
Control-roi-01,390,47,0.05389032,627,926,0.085001649
Control-roi-01,391,20,0.044010071,624,1594,0.036170915
Control-roi-01,392,27,0.048617504,626,1602,0.048830735
Control-roi-01,393,43,0.068273477,627,1621,0.077767466
Control-roi-01,394,34,0.060887088,632,284,0.061490555
Control-roi-01,395,12,0.043021541,631,1612,0.021702549
Control-roi-01,396,35,0.043074911,634,937,0.063299101
Control-roi-01,397,30,0.039508659,634,267,0.054256372
Control-roi-01,398,39,0.066404524,635,1630,0.070533283
Control-roi-01,399,42,0.059975586,636,1029,0.075958921
Control-roi-01,400,18,0.042401431,635,1603,0.032553823
Control-roi-01,401,18,0.033175657,637,250,0.032553823
Control-roi-01,402,42,0.070231828,638,620,0.075958921
Control-roi-01,403,34,0.040618619,641,631,0.061490555
Control-roi-01,404,31,0.046146728,640,1585,0.056064918
Control-roi-01,405,17,0.043079809,640,1592,0.030745277
Control-roi-01,406,18,0.033315531,641,244,0.032553823
Control-roi-01,407,9,0.026923696,641,1037,0.016276912
Control-roi-01,408,20,0.054690623,642,1624,0.036170915
Control-roi-01,409,18,0.031325077,643,286,0.032553823
Control-roi-01,410,36,0.086906911,644,608,0.065107646
Control-roi-01,411,31,0.040547651,643,1020,0.056064918
Control-roi-01,412,40,0.05109369,644,1611,0.072341829
Control-roi-01,413,19,0.033168295,644,258,0.034362369
Control-roi-01,414,26,0.035473118,644,922,0.047022189
Control-roi-01,415,56,0.078175239,648,598,0.101278561
Control-roi-01,416,36,0.049838509,647,1005,0.065107646
Control-roi-01,417,36,0.064415113,647,1598,0.065107646
Control-roi-01,418,46,0.071638786,649,1629,0.083193104
Control-roi-01,419,68,0.127455917,651,306,0.12298111
Control-roi-01,420,22,0.035221984,652,274,0.039788006
Control-roi-01,421,53,0.049383089,656,994,0.095852924
Control-roi-01,422,15,0.039118029,653,1619,0.027128186
Control-roi-01,423,18,0.026396412,654,241,0.032553823
Control-roi-01,424,19,0.037901001,655,624,0.034362369
Control-roi-01,425,35,0.047372287,656,1590,0.063299101
Control-roi-01,426,68,0.106097774,658,292,0.12298111
Control-roi-01,427,46,0.078236986,658,636,0.083193104
Control-roi-01,428,15,0.024662648,655,1037,0.027128186
Control-roi-01,429,24,0.037936472,657,252,0.043405097
Control-roi-01,430,27,0.041633959,659,970,0.048830735
Control-roi-01,431,33,0.052092451,660,264,0.059682009
Control-roi-01,432,26,0.046484263,659,653,0.047022189
Control-roi-01,433,41,0.042119366,660,939,0.074150375
Control-roi-01,434,33,0.053992893,661,225,0.059682009
Control-roi-01,435,93,0.069706329,665,1006,0.168194753
Control-roi-01,436,28,0.038986256,662,1614,0.05063928
Control-roi-01,437,24,0.032948043,662,607,0.043405097
Control-roi-01,438,12,0.025411358,662,273,0.021702549
Control-roi-01,439,40,0.068380255,665,645,0.072341829
Control-roi-01,440,22,0.029404829,665,1630,0.039788006
Control-roi-01,441,74,0.108333282,668,626,0.133832384
Control-roi-01,442,25,0.0438056,668,296,0.045213643
Control-roi-01,443,26,0.044243534,669,245,0.047022189
Control-roi-01,444,23,0.045386302,669,929,0.041596552
Control-roi-01,445,55,0.084131866,673,971,0.099470015
Control-roi-01,446,16,0.054920081,672,646,0.028936732
Control-roi-01,447,34,0.036712758,676,513,0.061490555
Control-roi-01,448,34,0.050680597,676,538,0.061490555
Control-roi-01,449,26,0.046211948,676,936,0.047022189
Control-roi-01,450,12,0.025265126,675,254,0.021702549
Control-roi-01,451,21,0.049042496,676,959,0.03797946
Control-roi-01,452,32,0.045572499,677,984,0.057873463
Control-roi-01,453,12,0.032401261,676,243,0.021702549
Control-roi-01,454,27,0.038717225,678,527,0.048830735
Control-roi-01,455,38,0.043635984,680,552,0.068724738
Control-roi-01,456,15,0.033209735,678,928,0.027128186
Control-roi-01,457,19,0.033687905,681,605,0.034362369
Control-roi-01,458,12,0.040875105,680,644,0.021702549
Control-roi-01,459,25,0.051003586,681,652,0.045213643
Control-roi-01,460,63,0.075208086,683,1000,0.113938381
Control-roi-01,461,40,0.064989319,684,960,0.072341829
Control-roi-01,462,15,0.050608072,682,972,0.027128186
Control-roi-01,463,41,0.066716538,685,301,0.074150375
Control-roi-01,464,38,0.04208639,686,262,0.068724738
Control-roi-01,465,40,0.057154574,686,620,0.072341829
Control-roi-01,466,35,0.047605532,689,559,0.063299101
Control-roi-01,467,41,0.065798763,690,280,0.074150375
Control-roi-01,468,16,0.041514076,690,1012,0.028936732
Control-roi-01,469,36,0.05736163,690,1023,0.065107646
Control-roi-01,470,49,0.073578069,692,647,0.088618741
Control-roi-01,471,28,0.049663212,691,930,0.05063928
Control-roi-01,472,51,0.096860082,693,509,0.092235832
Control-roi-01,473,36,0.075906852,692,970,0.065107646
Control-roi-01,474,20,0.038198672,693,498,0.036170915
Control-roi-01,475,37,0.036968074,694,578,0.066916192
Control-roi-01,476,40,0.051851301,694,628,0.072341829
Control-roi-01,477,38,0.052912666,695,956,0.068724738
Control-roi-01,478,25,0.029579919,696,908,0.045213643
Control-roi-01,479,42,0.03630412,699,1013,0.075958921
Control-roi-01,480,29,0.049087747,699,934,0.052447826
Control-roi-01,481,22,0.036789502,700,899,0.039788006
Control-roi-01,482,32,0.049691482,702,521,0.057873463
Control-roi-01,483,30,0.038362707,701,554,0.054256372
Control-roi-01,484,27,0.0616521,701,970,0.048830735
Control-roi-01,485,15,0.042161695,700,988,0.027128186
Control-roi-01,486,9,0.027829065,706,351,0.016276912
Control-roi-01,487,49,0.055710378,709,1003,0.088618741
Control-roi-01,488,51,0.06020462,709,981,0.092235832
Control-roi-01,489,23,0.061322692,709,994,0.041596552
Control-roi-01,490,57,0.051951616,710,379,0.103087107
